created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2019-06-27 09:19:53 UTC,1,28.30000,24.20000,27.50000,70.80000,19.70000,22.50000,8.10000,514.72736
2019-06-27 09:20:56 UTC,2,28.30000,24.20000,27.50000,70.70000,19.70000,22.50000,8.20000,514.59082
2019-06-27 09:21:58 UTC,3,28.30000,24.20000,27.50000,70.80000,19.70000,22.50000,8.10000,514.02637
2019-06-27 09:22:57 UTC,4,28.30000,24.20000,27.60000,70.70000,19.70000,22.50000,8.20000,513.78888
2019-06-27 09:24:57 UTC,5,28.30000,24.10000,27.60000,70.70000,19.70000,22.50000,8.10000,512.72650
2019-06-27 09:25:59 UTC,6,28.30000,24.10000,27.60000,70.60000,19.70000,22.50000,8.20000,509.61588
2019-06-27 09:27:01 UTC,7,28.30000,24.10000,27.60000,70.70000,19.60000,22.50000,8.20000,502.06519
2019-06-27 09:28:03 UTC,8,28.30000,24.10000,27.60000,70.30000,19.60000,22.40000,8.30000,491.89157
2019-06-27 09:29:04 UTC,9,28.30000,24.20000,27.60000,71.00000,19.80000,22.60000,8.10000,485.59158
2019-06-27 09:30:06 UTC,10,27.70000,23.50000,27.40000,69.90000,18.80000,21.70000,8.10000,483.18369
2019-06-27 09:31:07 UTC,11,27.00000,22.90000,27.30000,70.30000,18.20000,21.10000,7.70000,484.19055
2019-06-27 09:32:09 UTC,12,26.50000,22.40000,27.20000,70.30000,17.70000,20.60000,7.50000,492.23001
2019-06-27 09:33:11 UTC,13,26.10000,22.10000,27.00000,70.20000,17.30000,20.30000,7.30000,516.67548
2019-06-27 09:34:14 UTC,14,25.80000,21.70000,26.90000,69.80000,16.80000,19.80000,7.30000,535.86560
2019-06-27 09:35:12 UTC,15,25.50000,21.40000,26.70000,69.40000,16.50000,19.50000,7.30000,548.00891
2019-06-27 09:36:14 UTC,16,25.30000,21.10000,26.60000,68.90000,16.20000,19.20000,7.30000,568.42047
2019-06-27 09:37:15 UTC,17,25.00000,20.90000,26.50000,68.60000,15.90000,18.90000,7.30000,594.64862
2019-06-27 09:38:17 UTC,18,24.90000,20.70000,26.40000,68.20000,15.70000,18.70000,7.30000,609.06964
2019-06-27 09:39:19 UTC,19,25.30000,21.40000,26.50000,70.80000,16.60000,19.60000,6.90000,628.23773
2019-06-27 09:40:20 UTC,20,25.60000,21.90000,26.50000,71.90000,17.20000,20.20000,6.70000,650.39862
2019-06-27 09:41:22 UTC,21,25.70000,22.10000,26.50000,72.70000,17.50000,20.40000,6.60000,669.91864
2019-06-27 09:43:26 UTC,22,25.10000,21.10000,26.40000,69.80000,16.20000,19.20000,7.00000,711.66095
2019-06-27 09:44:23 UTC,23,24.80000,20.70000,26.20000,68.70000,15.70000,18.70000,7.10000,722.56201
2019-06-27 09:45:25 UTC,24,24.60000,20.40000,26.20000,68.10000,15.40000,18.30000,7.20000,730.75549
2019-06-27 09:46:27 UTC,25,24.40000,20.20000,26.10000,67.70000,15.20000,18.10000,7.20000,736.98218
2019-06-27 09:47:28 UTC,26,24.30000,20.00000,26.00000,67.00000,14.90000,17.80000,7.30000,743.61481
2019-06-27 09:48:30 UTC,27,24.20000,19.70000,25.90000,66.10000,14.60000,17.40000,7.50000,752.48749
2019-06-27 09:49:31 UTC,28,24.00000,19.50000,25.80000,65.70000,14.30000,17.20000,7.50000,768.18127
2019-06-27 09:50:33 UTC,29,23.90000,19.40000,25.70000,65.30000,14.20000,17.00000,7.50000,790.86749
2019-06-27 09:51:45 UTC,30,23.80000,19.20000,25.70000,64.90000,14.00000,16.80000,7.60000,808.92651
2019-06-27 09:52:34 UTC,31,24.10000,19.70000,25.70000,66.40000,14.50000,17.40000,7.40000,813.43384
2019-06-27 09:53:36 UTC,32,24.40000,20.20000,25.70000,68.00000,15.20000,18.10000,7.20000,820.35040
2019-06-27 09:54:37 UTC,33,24.70000,20.60000,25.80000,68.80000,15.60000,18.60000,7.10000,827.50433
2019-06-27 09:55:39 UTC,34,24.60000,20.40000,25.80000,68.00000,15.30000,18.30000,7.20000,838.87506
2019-06-27 09:56:41 UTC,35,24.20000,19.90000,25.70000,67.00000,14.80000,17.70000,7.30000,855.52216
2019-06-27 09:57:42 UTC,36,24.00000,19.60000,25.60000,66.30000,14.40000,17.30000,7.40000,868.43396
2019-06-27 09:59:44 UTC,37,23.70000,19.20000,25.50000,65.00000,13.90000,16.70000,7.50000,884.55560
2019-06-27 10:00:45 UTC,38,24.00000,19.80000,25.50000,67.10000,14.70000,17.60000,7.20000,890.74969
2019-06-27 10:01:47 UTC,39,24.40000,20.20000,25.60000,68.20000,15.20000,18.10000,7.10000,896.95953
2019-06-27 10:02:48 UTC,40,24.60000,20.50000,25.60000,69.30000,15.60000,18.60000,6.90000,904.00983
2019-06-27 10:03:50 UTC,41,24.40000,20.20000,25.60000,68.00000,15.10000,18.10000,7.10000,913.21655
2019-06-27 10:04:54 UTC,42,24.10000,19.80000,25.60000,66.80000,14.60000,17.50000,7.30000,925.75244
2019-06-27 10:08:54 UTC,43,25.70000,20.70000,25.80000,63.70000,15.30000,18.30000,8.70000,947.40247
2019-06-27 10:10:03 UTC,44,25.90000,20.80000,25.80000,63.10000,15.30000,18.30000,9.00000,943.54871
2019-06-27 10:14:02 UTC,45,26.30000,21.10000,26.10000,62.60000,15.60000,18.60000,9.30000,867.16907
2019-06-27 10:19:04 UTC,46,26.60000,21.40000,26.20000,62.80000,15.90000,18.90000,9.40000,832.16016
2019-06-27 10:23:56 UTC,47,26.70000,21.60000,26.30000,63.60000,16.20000,19.30000,9.30000,805.99121
2019-06-27 10:24:59 UTC,48,26.80000,21.70000,26.40000,63.30000,16.20000,19.20000,9.40000,800.21295
2019-06-27 10:27:57 UTC,49,26.80000,21.70000,26.40000,63.30000,16.20000,19.30000,9.40000,744.38116
2019-06-27 10:33:10 UTC,50,26.90000,21.90000,26.50000,64.20000,16.50000,19.60000,9.20000,727.37457
2019-06-27 10:36:12 UTC,51,27.00000,22.00000,26.50000,64.50000,16.70000,19.70000,9.20000,721.08984
2019-06-27 10:38:04 UTC,52,27.00000,22.10000,26.50000,64.80000,16.80000,19.80000,9.10000,701.29712
2019-06-27 10:51:04 UTC,53,27.10000,22.50000,26.60000,66.60000,17.30000,20.40000,8.70000,617.96484
2019-06-27 10:53:08 UTC,54,27.10000,22.50000,26.60000,67.00000,17.50000,20.50000,8.60000,604.42316
2019-06-27 11:01:11 UTC,55,27.20000,22.70000,26.70000,67.60000,17.70000,20.70000,8.50000,571.03882
2019-06-27 11:08:10 UTC,56,27.20000,22.80000,26.70000,68.10000,17.80000,20.80000,8.40000,531.06891
2019-06-27 11:17:00 UTC,57,27.30000,22.90000,26.80000,68.50000,18.00000,21.00000,8.30000,491.86835
2019-06-27 11:21:49 UTC,58,27.30000,22.90000,26.80000,68.70000,18.10000,21.00000,8.20000,467.69168
2019-06-27 11:24:53 UTC,59,27.30000,22.90000,26.80000,68.90000,18.10000,21.10000,8.20000,453.04980
2019-06-27 11:26:05 UTC,60,27.30000,22.90000,26.80000,68.60000,18.00000,21.00000,8.20000,449.24399
2019-06-27 11:26:55 UTC,61,27.30000,22.90000,26.80000,68.80000,18.10000,21.10000,8.20000,446.63623
2019-06-27 11:40:18 UTC,62,27.30000,23.00000,26.80000,68.80000,18.20000,21.10000,8.20000,410.74353
2019-06-27 11:41:18 UTC,63,27.30000,23.00000,26.80000,68.80000,18.10000,21.10000,8.20000,407.81039
2019-06-27 11:43:18 UTC,64,27.40000,22.90000,26.90000,68.10000,18.00000,21.00000,8.40000,403.74356
2019-06-27 11:45:20 UTC,65,27.50000,23.00000,26.90000,67.70000,18.00000,21.00000,8.60000,402.03091
2019-06-27 11:46:24 UTC,66,27.60000,23.00000,26.90000,67.30000,18.00000,21.00000,8.80000,402.79910
2019-06-27 11:47:21 UTC,67,27.70000,23.10000,26.90000,67.20000,18.10000,21.10000,8.80000,406.86697
2019-06-27 11:48:23 UTC,68,27.70000,23.10000,26.90000,67.40000,18.10000,21.10000,8.80000,421.93643
2019-06-27 11:49:24 UTC,69,27.70000,23.10000,26.90000,67.50000,18.20000,21.20000,8.70000,447.14456
2019-06-27 11:50:26 UTC,70,27.70000,23.10000,26.90000,67.50000,18.20000,21.20000,8.70000,464.46494
2019-06-27 11:51:27 UTC,71,27.70000,23.10000,26.90000,67.50000,18.20000,21.20000,8.80000,476.75327
2019-06-27 11:52:28 UTC,72,27.80000,23.10000,26.90000,67.40000,18.20000,21.20000,8.80000,490.49011
2019-06-27 11:53:30 UTC,73,27.80000,23.20000,26.90000,67.50000,18.20000,21.20000,8.80000,508.36047
2019-06-27 11:54:31 UTC,74,27.80000,23.20000,27.00000,67.70000,18.30000,21.30000,8.70000,531.84082
2019-06-27 11:55:33 UTC,75,27.80000,23.30000,27.00000,67.90000,18.40000,21.30000,8.70000,553.00671
2019-06-27 11:56:34 UTC,76,27.80000,23.30000,27.00000,67.80000,18.40000,21.30000,8.70000,567.36542
2019-06-27 11:57:36 UTC,77,27.80000,23.30000,27.00000,67.90000,18.40000,21.40000,8.70000,579.10181
2019-06-27 11:58:35 UTC,78,27.90000,23.30000,27.00000,67.50000,18.40000,21.40000,8.90000,591.12561
2019-06-27 11:59:34 UTC,79,27.90000,23.40000,27.00000,68.10000,18.50000,21.50000,8.70000,602.58698
2019-06-27 12:00:37 UTC,80,27.90000,23.30000,27.00000,67.90000,18.50000,21.40000,8.70000,613.44666
2019-06-27 12:01:39 UTC,81,27.90000,23.30000,27.00000,67.90000,18.40000,21.40000,8.70000,623.52246
2019-06-27 12:02:40 UTC,82,27.90000,23.40000,27.00000,68.20000,18.50000,21.50000,8.70000,633.16547
2019-06-27 12:03:39 UTC,83,27.90000,23.40000,27.00000,68.10000,18.50000,21.50000,8.70000,644.84680
2019-06-27 12:04:42 UTC,84,27.90000,23.40000,27.00000,68.40000,18.60000,21.50000,8.60000,655.34497
2019-06-27 12:05:44 UTC,85,27.40000,23.10000,27.00000,69.50000,18.40000,21.30000,8.10000,665.29834
2019-06-27 12:06:46 UTC,86,26.70000,22.50000,26.90000,69.40000,17.60000,20.60000,7.80000,680.42395
2019-06-27 12:07:47 UTC,87,26.10000,22.00000,26.80000,69.20000,17.10000,20.10000,7.60000,701.36694
2019-06-27 12:08:46 UTC,88,25.70000,21.50000,26.60000,68.80000,16.50000,19.50000,7.50000,729.58319
2019-06-27 12:09:49 UTC,89,25.30000,21.00000,26.50000,67.80000,16.00000,19.00000,7.60000,751.24683
2019-06-27 12:10:50 UTC,90,25.10000,20.70000,26.40000,67.50000,15.60000,18.60000,7.50000,767.60004
2019-06-27 12:12:52 UTC,91,24.60000,20.10000,26.20000,66.30000,15.00000,17.90000,7.60000,790.93854
2019-06-27 12:13:54 UTC,92,24.40000,19.80000,26.10000,65.40000,14.60000,17.50000,7.70000,802.96350
2019-06-27 12:14:55 UTC,93,24.20000,19.60000,26.00000,64.90000,14.30000,17.20000,7.70000,817.49286
2019-06-27 12:15:56 UTC,94,24.00000,19.30000,25.90000,64.20000,14.00000,16.80000,7.80000,831.14240
2019-06-27 12:16:58 UTC,95,23.90000,19.20000,25.70000,63.70000,13.80000,16.60000,7.90000,842.38605
2019-06-27 12:17:59 UTC,96,23.80000,18.90000,25.50000,63.00000,13.60000,16.30000,8.00000,854.67151
2019-06-27 12:19:01 UTC,97,23.60000,18.70000,25.40000,62.40000,13.30000,16.00000,8.00000,869.70160
2019-06-27 12:20:02 UTC,98,23.50000,18.60000,25.30000,61.80000,13.10000,15.80000,8.10000,885.45526
2019-06-27 12:21:04 UTC,99,23.40000,18.40000,25.30000,61.30000,12.90000,15.60000,8.20000,894.36066
2019-06-27 12:22:05 UTC,100,23.30000,18.30000,25.10000,61.20000,12.80000,15.40000,8.10000,903.74335
2019-06-27 12:23:07 UTC,101,23.20000,18.10000,25.10000,60.80000,12.60000,15.20000,8.20000,917.85223
2019-06-27 12:24:08 UTC,102,23.00000,17.90000,25.10000,60.40000,12.50000,15.00000,8.20000,935.52356
2019-06-27 12:25:10 UTC,103,23.00000,17.80000,25.00000,59.70000,12.30000,14.70000,8.30000,951.54401
2019-06-27 12:26:12 UTC,104,22.90000,17.60000,24.90000,59.30000,12.10000,14.50000,8.30000,966.58142
2019-06-27 12:27:13 UTC,105,22.80000,17.60000,24.90000,59.30000,12.10000,14.40000,8.30000,980.09796
2019-06-27 12:28:15 UTC,106,23.30000,18.40000,24.90000,62.00000,13.00000,15.60000,8.00000,993.01642
2019-06-27 12:29:16 UTC,107,23.60000,18.90000,25.00000,63.50000,13.60000,16.30000,7.80000,1007.32288
2019-06-27 12:30:18 UTC,108,23.90000,19.30000,25.10000,64.50000,14.00000,16.80000,7.70000,1026.09167
2019-06-27 12:31:20 UTC,109,23.80000,19.10000,25.10000,63.70000,13.70000,16.50000,7.80000,1045.40125
2019-06-27 12:32:21 UTC,110,23.40000,18.70000,25.10000,63.20000,13.40000,16.10000,7.80000,1064.99756
2019-06-27 12:33:23 UTC,111,23.20000,18.30000,25.00000,62.20000,13.00000,15.60000,7.90000,1079.44226
2019-06-27 12:34:25 UTC,112,23.00000,18.10000,25.00000,62.00000,12.80000,15.30000,7.80000,1089.46558
2019-06-27 12:35:26 UTC,113,22.80000,17.90000,24.90000,61.40000,12.50000,15.00000,7.90000,1095.89111
2019-06-27 12:36:28 UTC,114,23.10000,17.90000,24.90000,60.20000,12.40000,14.90000,8.20000,1101.43982
2019-06-27 12:37:27 UTC,115,23.90000,18.40000,24.80000,58.40000,12.70000,15.30000,9.00000,942.66077
2019-06-27 12:38:29 UTC,116,24.30000,19.00000,24.90000,60.60000,13.40000,16.20000,8.70000,405.90314
2019-06-27 12:39:31 UTC,117,24.60000,19.00000,25.00000,58.70000,13.20000,16.00000,9.30000,408.81488
2019-06-27 12:40:32 UTC,118,24.80000,19.20000,25.10000,58.20000,13.30000,16.10000,9.60000,415.48303
2019-06-27 12:41:34 UTC,119,25.00000,19.20000,25.20000,57.50000,13.30000,16.10000,9.80000,422.90134
2019-06-27 12:42:33 UTC,120,25.20000,19.30000,25.30000,57.20000,13.40000,16.10000,10.00000,427.76984
2019-06-27 12:43:33 UTC,121,25.30000,19.40000,25.30000,57.00000,13.40000,16.20000,10.10000,428.44095
2019-06-27 12:44:33 UTC,122,25.40000,19.50000,25.40000,57.10000,13.50000,16.30000,10.10000,426.97955
2019-06-27 12:45:33 UTC,123,25.50000,19.50000,25.50000,56.80000,13.50000,16.30000,10.30000,422.45587
